Time,2->1Bytes,1->2Bytes,2->1Pkts,1->2Pkts
177,1.0,1.0,1.0,1.0
178,1.0,1.0,1.0,1.0
179,1.0,1.0,1.0,1.0
180,1.0,1.0,1.0,1.0
181,1.0,1.0,1.0,1.0
182,1.0,1.0,1.0,1.0
183,1.0,1.0,1.0,1.0
184,1.0,1.0,1.0,1.0
185,1.0,1.0,1.0,1.0
186,1.0,1.0,1.0,1.0
187,1.0,1.0,1.0,1.0
188,1.0,1.0,1.0,1.0
189,1.0,1.0,1.0,1.0
190,1.0,1.0,1.0,1.0
191,1.0,1.0,1.0,1.0
192,1.0,1.0,1.0,1.0
193,1.0,1.0,1.0,1.0
194,1.0,1.0,1.0,1.0
195,1.0,1.0,1.0,1.0
196,1.0,1.0,1.0,1.0
197,1.0,1.0,1.0,1.0
198,1.0,1.0,1.0,1.0
199,1.0,1.0,1.0,1.0
200,1.0,1.0,1.0,1.0
201,1.0,1.0,1.0,1.0
202,1.0,1.0,1.0,1.0
203,1004708.0,13888.0,498.0,98.0
204,1.0,1.0,1.0,1.0
205,1.0,1.0,1.0,1.0
206,1.0,1.0,1.0,1.0
207,1195231.0,19425.0,515.0,41.0
208,1.0,1.0,1.0,1.0
209,1.0,1.0,1.0,1.0
210,1.0,1.0,1.0,1.0
211,1.0,1.0,1.0,1.0
212,1.0,1.0,1.0,1.0
213,1.0,1.0,1.0,1.0
214,1.0,1.0,1.0,1.0
215,1.0,1.0,1.0,1.0
216,920934.0,16505.0,567.0,104.0
217,1.0,1.0,1.0,1.0
218,1.0,1.0,1.0,1.0
219,1.0,1.0,1.0,1.0
220,1094899.0,12175.0,520.0,53.0
221,1.0,1.0,1.0,1.0
222,1.0,1.0,1.0,1.0
223,1.0,1.0,1.0,1.0
224,1.0,1.0,1.0,1.0
225,939157.0,18711.0,482.0,76.0
226,1.0,1.0,1.0,1.0
227,1.0,1.0,1.0,1.0
228,1.0,1.0,1.0,1.0
229,1.0,1.0,1.0,1.0
230,1.0,1.0,1.0,1.0
231,1.0,1.0,1.0,1.0
232,1.0,1.0,1.0,1.0
233,1.0,1.0,1.0,1.0
234,1136136.0,13109.0,442.0,64.0
235,1.0,1.0,1.0,1.0
236,1.0,1.0,1.0,1.0
237,807252.0,17126.0,430.0,104.0
238,835664.0,19932.0,438.0,91.0
239,1.0,1.0,1.0,1.0
240,1.0,1.0,1.0,1.0
241,1.0,1.0,1.0,1.0
242,1.0,1.0,1.0,1.0
243,1.0,1.0,1.0,1.0
244,1.0,1.0,1.0,1.0
245,1.0,1.0,1.0,1.0
246,1.0,1.0,1.0,1.0
247,1.0,1.0,1.0,1.0
248,1.0,1.0,1.0,1.0
249,1.0,1.0,1.0,1.0
250,1.0,1.0,1.0,1.0
251,1.0,1.0,1.0,1.0
252,987586.0,12332.0,545.0,76.0
253,1.0,1.0,1.0,1.0
254,1.0,1.0,1.0,1.0
255,1.0,1.0,1.0,1.0
256,1.0,1.0,1.0,1.0
257,1.0,1.0,1.0,1.0
258,1.0,1.0,1.0,1.0
259,1.0,1.0,1.0,1.0
260,1120788.0,14186.0,564.0,54.0
261,1.0,1.0,1.0,1.0
262,1.0,1.0,1.0,1.0
263,1.0,1.0,1.0,1.0
264,1.0,1.0,1.0,1.0
265,1.0,1.0,1.0,1.0
266,1.0,1.0,1.0,1.0
267,1.0,1.0,1.0,1.0
268,893150.0,17204.0,442.0,54.0
269,1.0,1.0,1.0,1.0
270,1.0,1.0,1.0,1.0
271,1.0,1.0,1.0,1.0
272,1.0,1.0,1.0,1.0
273,1.0,1.0,1.0,1.0
274,1.0,1.0,1.0,1.0
275,1.0,1.0,1.0,1.0
276,1.0,1.0,1.0,1.0
277,1.0,1.0,1.0,1.0
278,1.0,1.0,1.0,1.0
279,1.0,1.0,1.0,1.0
280,1.0,1.0,1.0,1.0
281,1.0,1.0,1.0,1.0
282,1.0,1.0,1.0,1.0
283,1.0,1.0,1.0,1.0
284,1.0,1.0,1.0,1.0
285,1.0,1.0,1.0,1.0
286,1.0,1.0,1.0,1.0
287,1.0,1.0,1.0,1.0
288,1.0,1.0,1.0,1.0
289,1.0,1.0,1.0,1.0
290,1186061.0,19230.0,569.0,83.0
291,1.0,1.0,1.0,1.0
292,1.0,1.0,1.0,1.0
293,1.0,1.0,1.0,1.0
294,908404.0,15147.0,454.0,45.0
295,1.0,1.0,1.0,1.0
296,1.0,1.0,1.0,1.0
297,1.0,1.0,1.0,1.0
298,1.0,1.0,1.0,1.0
299,1.0,1.0,1.0,1.0
300,1.0,1.0,1.0,1.0
